Annotator UUID,Annotator Directory,PMID
5c498251-9763-486f-8d20-f5128dc0c157,S1,19129220
5c498251-9763-486f-8d20-f5128dc0c157,S1,21450087
5c498251-9763-486f-8d20-f5128dc0c157,S1,17892462
5c498251-9763-486f-8d20-f5128dc0c157,S1,23861975
5c498251-9763-486f-8d20-f5128dc0c157,S1,23642041
5c498251-9763-486f-8d20-f5128dc0c157,S1,22870392
5c498251-9763-486f-8d20-f5128dc0c157,S1,24490131
5c498251-9763-486f-8d20-f5128dc0c157,S1,20843371
5c498251-9763-486f-8d20-f5128dc0c157,S1,20167624
5c498251-9763-486f-8d20-f5128dc0c157,S1,21799779
5c498251-9763-486f-8d20-f5128dc0c157,S1,23152924
5c498251-9763-486f-8d20-f5128dc0c157,S1,22506036
5c498251-9763-486f-8d20-f5128dc0c157,S1,19399190
5c498251-9763-486f-8d20-f5128dc0c157,S1,20053280
5c498251-9763-486f-8d20-f5128dc0c157,S1,21569462
5c498251-9763-486f-8d20-f5128dc0c157,S1,25470502
5c498251-9763-486f-8d20-f5128dc0c157,S1,23298179
5c498251-9763-486f-8d20-f5128dc0c157,S1,23209661
5c498251-9763-486f-8d20-f5128dc0c157,S1,17233899
5c498251-9763-486f-8d20-f5128dc0c157,S1,24466126
5c498251-9763-486f-8d20-f5128dc0c157,S1,24694298
5c498251-9763-486f-8d20-f5128dc0c157,S1,24713082
5c498251-9763-486f-8d20-f5128dc0c157,S1,22233679
5c498251-9763-486f-8d20-f5128dc0c157,S1,21087492
5c498251-9763-486f-8d20-f5128dc0c157,S1,21673794
5c498251-9763-486f-8d20-f5128dc0c157,S1,16840531
5c498251-9763-486f-8d20-f5128dc0c157,S1,22479184
5c498251-9763-486f-8d20-f5128dc0c157,S1,20593029
5c498251-9763-486f-8d20-f5128dc0c157,S1,24957601
5c498251-9763-486f-8d20-f5128dc0c157,S1,24260461
5c498251-9763-486f-8d20-f5128dc0c157,S1,23232715
5c498251-9763-486f-8d20-f5128dc0c157,S1,21345178
5c498251-9763-486f-8d20-f5128dc0c157,S1,24146802
5c498251-9763-486f-8d20-f5128dc0c157,S1,19703315
5c498251-9763-486f-8d20-f5128dc0c157,S1,17164287
5c498251-9763-486f-8d20-f5128dc0c157,S1,20830609
5c498251-9763-486f-8d20-f5128dc0c157,S1,18366809
5c498251-9763-486f-8d20-f5128dc0c157,S1,23823757
5c498251-9763-486f-8d20-f5128dc0c157,S1,18515344
5c498251-9763-486f-8d20-f5128dc0c157,S1,19552825
5c498251-9763-486f-8d20-f5128dc0c157,S1,24086521
5c498251-9763-486f-8d20-f5128dc0c157,S1,18346968
5c498251-9763-486f-8d20-f5128dc0c157,S1,21124877
5c498251-9763-486f-8d20-f5128dc0c157,S1,17129387
5c498251-9763-486f-8d20-f5128dc0c157,S1,21966533
227a8d13-af21-4f47-b468-0442c7da3038,T1,19129220
227a8d13-af21-4f47-b468-0442c7da3038,T1,21450087
227a8d13-af21-4f47-b468-0442c7da3038,T1,17892462
227a8d13-af21-4f47-b468-0442c7da3038,T1,23861975
227a8d13-af21-4f47-b468-0442c7da3038,T1,17355989
227a8d13-af21-4f47-b468-0442c7da3038,T1,23642041
227a8d13-af21-4f47-b468-0442c7da3038,T1,22870392
227a8d13-af21-4f47-b468-0442c7da3038,T1,17932079
227a8d13-af21-4f47-b468-0442c7da3038,T1,24490131
227a8d13-af21-4f47-b468-0442c7da3038,T1,20843371
227a8d13-af21-4f47-b468-0442c7da3038,T1,20167624
227a8d13-af21-4f47-b468-0442c7da3038,T1,21799779
227a8d13-af21-4f47-b468-0442c7da3038,T1,23152924
227a8d13-af21-4f47-b468-0442c7da3038,T1,22506036
227a8d13-af21-4f47-b468-0442c7da3038,T1,19399190
227a8d13-af21-4f47-b468-0442c7da3038,T1,20053280
227a8d13-af21-4f47-b468-0442c7da3038,T1,21569462
227a8d13-af21-4f47-b468-0442c7da3038,T1,25470502
227a8d13-af21-4f47-b468-0442c7da3038,T1,23298179
227a8d13-af21-4f47-b468-0442c7da3038,T1,22761817
227a8d13-af21-4f47-b468-0442c7da3038,T1,23209661
227a8d13-af21-4f47-b468-0442c7da3038,T1,17233899
227a8d13-af21-4f47-b468-0442c7da3038,T1,24466126
227a8d13-af21-4f47-b468-0442c7da3038,T1,24694298
227a8d13-af21-4f47-b468-0442c7da3038,T1,19846594
227a8d13-af21-4f47-b468-0442c7da3038,T1,24713082
227a8d13-af21-4f47-b468-0442c7da3038,T1,18554322
227a8d13-af21-4f47-b468-0442c7da3038,T1,24945271
227a8d13-af21-4f47-b468-0442c7da3038,T1,22233679
227a8d13-af21-4f47-b468-0442c7da3038,T1,21087492
227a8d13-af21-4f47-b468-0442c7da3038,T1,21673794
227a8d13-af21-4f47-b468-0442c7da3038,T1,16840531
227a8d13-af21-4f47-b468-0442c7da3038,T1,22479184
227a8d13-af21-4f47-b468-0442c7da3038,T1,20593029
227a8d13-af21-4f47-b468-0442c7da3038,T1,24957601
227a8d13-af21-4f47-b468-0442c7da3038,T1,24260461
227a8d13-af21-4f47-b468-0442c7da3038,T1,23232715
227a8d13-af21-4f47-b468-0442c7da3038,T1,16528104
227a8d13-af21-4f47-b468-0442c7da3038,T1,21345178
227a8d13-af21-4f47-b468-0442c7da3038,T1,24146802
227a8d13-af21-4f47-b468-0442c7da3038,T1,19703315
227a8d13-af21-4f47-b468-0442c7da3038,T1,17164287
227a8d13-af21-4f47-b468-0442c7da3038,T1,20830609
227a8d13-af21-4f47-b468-0442c7da3038,T1,18366809
227a8d13-af21-4f47-b468-0442c7da3038,T1,23823757
227a8d13-af21-4f47-b468-0442c7da3038,T1,18515344
227a8d13-af21-4f47-b468-0442c7da3038,T1,20178568
227a8d13-af21-4f47-b468-0442c7da3038,T1,19552825
227a8d13-af21-4f47-b468-0442c7da3038,T1,24086521
227a8d13-af21-4f47-b468-0442c7da3038,T1,18346968
227a8d13-af21-4f47-b468-0442c7da3038,T1,21124877
227a8d13-af21-4f47-b468-0442c7da3038,T1,17129387
227a8d13-af21-4f47-b468-0442c7da3038,T1,21966533
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,23823757
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,17892462
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,18005413
c2d05d81-4a1d-446a-84af-bf52a46f8c26,A1,22665491
